Data;a_vista_real;a_vista_dolar
30/09/2019;63;15,18
01/10/2019;63,76;15,31
02/10/2019;64,27;15,54
03/10/2019;64,5;15,79
04/10/2019;64,64;15,92
07/10/2019;64,67;15,77
08/10/2019;64,81;15,85
09/10/2019;64,88;15,85
10/10/2019;64,64;15,68
11/10/2019;64,96;15,9
14/10/2019;65,03;15,76
15/10/2019;65,25;15,69
16/10/2019;64,66;15,55
17/10/2019;65,27;15,69
18/10/2019;65,26;15,86
21/10/2019;65,76;15,9
22/10/2019;65,95;16,19
23/10/2019;65,53;16,25
24/10/2019;65,16;16,14
25/10/2019;65,8;16,42
28/10/2019;65,64;16,46
29/10/2019;65,03;16,27
30/10/2019;65,2;16,35
31/10/2019;65,21;16,25
01/11/2019;65,31;16,33
04/11/2019;65,6;16,37
05/11/2019;65,35;16,37
06/11/2019;65,77;16,1
07/11/2019;65,95;16,13
08/11/2019;66,11;15,91
11/11/2019;65,77;15,9
12/11/2019;65,95;15,81
13/11/2019;65,52;15,65
14/11/2019;65,67;15,67
18/11/2019;65,54;15,6
19/11/2019;65,76;15,67
21/11/2019;65,28;15,56
22/11/2019;65,77;15,69
25/11/2019;65,68;15,59
26/11/2019;65,82;15,51
27/11/2019;65,12;15,3
28/11/2019;65,89;15,64
29/11/2019;65,56;15,48
02/12/2019;66,04;15,66
03/12/2019;66,51;15,8
04/12/2019;67,15;15,97
05/12/2019;67,39;16,1
06/12/2019;68,1;16,44
09/12/2019;68,74;16,63
10/12/2019;68,16;16,44
11/12/2019;68,99;16,69
12/12/2019;70,41;17,24
13/12/2019;69,69;16,97
16/12/2019;70,63;17,39
17/12/2019;71,09;17,49
18/12/2019;72,13;17,73
19/12/2019;71,62;17,63
20/12/2019;72,29;17,64
23/12/2019;72,9;17,89
26/12/2019;74,06;18,23
27/12/2019;74,28;18,35
30/12/2019;73,27;18,24
02/01/2020;72,71;18,07
03/01/2020;73,54;18,14
06/01/2020;73,71;18,11
07/01/2020;73,86;18,19
08/01/2020;73,34;18,11
09/01/2020;72,53;17,75
10/01/2020;72,17;17,68
13/01/2020;72,67;17,56
14/01/2020;73,02;17,68
15/01/2020;73,44;17,58
16/01/2020;73,2;17,45
17/01/2020;73,48;17,66
20/01/2020;74,76;17,85
21/01/2020;74,73;17,79
22/01/2020;75,26;18,02
23/01/2020;75,82;18,2
24/01/2020;76,11;18,18
27/01/2020;76,44;18,18
28/01/2020;76,25;18,18
29/01/2020;76,21;18,05
30/01/2020;76,3;17,91
31/01/2020;75,77;17,69
03/02/2020;75,53;17,78
04/02/2020;76,11;17,88
05/02/2020;76,71;18,08
06/02/2020;77,07;18,02
07/02/2020;77,18;17,87
10/02/2020;77,32;17,87
11/02/2020;77,06;17,81
12/02/2020;76,74;17,65
13/02/2020;76,96;17,72
14/02/2020;78,34;18,22
17/02/2020;78,43;18,13
18/02/2020;79,13;18,16
19/02/2020;79,93;18,3
20/02/2020;80,43;18,34
21/02/2020;80,65;18,37
26/02/2020;81,09;18,27
27/02/2020;80,77;18,07
28/02/2020;80,9;18,01
02/03/2020;80,67;17,99
03/03/2020;81,31;18,03
04/03/2020;80,86;17,66
05/03/2020;80,33;17,28
06/03/2020;80,91;17,48
09/03/2020;80,13;16,89
10/03/2020;78,92;16,99
11/03/2020;79,35;16,76
12/03/2020;79,79;16,56
13/03/2020;80,2;16,53
16/03/2020;78,39;15,59
17/03/2020;77,5;15,5
18/03/2020;76,6;14,65
19/03/2020;77,08;15,12
20/03/2020;77,45;15,34
23/03/2020;77,72;15,12
24/03/2020;77,66;15,25
25/03/2020;76,79;15,32
26/03/2020;77,14;15,42
27/03/2020;76,35;15,09
30/03/2020;75,13;14,52
31/03/2020;75,64;14,56
01/04/2020;76,38;14,52
02/04/2020;76,81;14,59
03/04/2020;77,75;14,63
06/04/2020;78,8;14,86
07/04/2020;77,87;14,93
08/04/2020;78,74;15,29
09/04/2020;78,76;15,44
13/04/2020;79,18;15,3
14/04/2020;79,21;15,27
15/04/2020;78,2;14,94
16/04/2020;77,95;14,82
17/04/2020;77,95;14,87
20/04/2020;77,3;14,57
22/04/2020;77,19;14,28
23/04/2020;77;13,99
24/04/2020;76,58;13,5
27/04/2020;75,3;13,19
28/04/2020;75,26;13,69
29/04/2020;75,5;14,09
30/04/2020;75,94;13,94
04/05/2020;75,56;13,64
05/05/2020;74,72;13,35
06/05/2020;74,91;13,14
07/05/2020;73,94;12,62
08/05/2020;74,68;12,99
11/05/2020;75,07;12,87
12/05/2020;74,78;12,76
13/05/2020;74,5;12,6
14/05/2020;74,11;12,7
15/05/2020;73,82;12,66
18/05/2020;73,68;12,9
19/05/2020;73,63;12,84
20/05/2020;74,98;13,21
21/05/2020;75,33;13,52
22/05/2020;74,74;13,39
25/05/2020;74,74;13,39
26/05/2020;74,43;13,94
27/05/2020;75,27;14,22
28/05/2020;76,06;14,18
29/05/2020;76,79;14,38
01/06/2020;76,8;14,28
02/06/2020;76,21;14,6
03/06/2020;75,69;14,94
04/06/2020;76,11;14,88
05/06/2020;77,33;15,56
08/06/2020;76,02;15,61
09/06/2020;76,93;15,77
10/06/2020;76,6;15,58
12/06/2020;76,32;15,09
15/06/2020;75,71;14,7
16/06/2020;75,91;14,53
17/06/2020;76,29;14,49
18/06/2020;76,48;14,2
19/06/2020;76,37;14,4
22/06/2020;76,43;14,51
23/06/2020;76,84;14,93
24/06/2020;75,68;14,24
25/06/2020;74,75;14,04
26/06/2020;76,03;13,9
29/06/2020;76,38;14,05
30/06/2020;76,12;13,99
01/07/2020;76,04;14,32
02/07/2020;76,49;14,29
03/07/2020;76;14,3
06/07/2020;76,62;14,34
07/07/2020;75,76;14,08
08/07/2020;76,94;14,4
09/07/2020;77,1;14,45
10/07/2020;77,26;14,52
13/07/2020;77,53;14,43
14/07/2020;77,46;14,5
15/07/2020;77,29;14,36
16/07/2020;77,82;14,61
17/07/2020;77,23;14,34
20/07/2020;77,04;14,44
21/07/2020;77,2;14,86
22/07/2020;77,8;15,2
23/07/2020;77,94;14,97
24/07/2020;78,49;15,07
27/07/2020;78,35;15,16
28/07/2020;78,06;15,15
29/07/2020;78,52;15,19
30/07/2020;77,99;15,13
31/07/2020;78,46;15,05
03/08/2020;78,98;14,82
04/08/2020;79,62;15,03
05/08/2020;78,74;14,86
06/08/2020;79,18;14,79
07/08/2020;79,18;14,61
10/08/2020;79,53;14,57
11/08/2020;79,24;14,66
12/08/2020;79,94;14,65
13/08/2020;80,41;14,97
14/08/2020;81,43;15
17/08/2020;80,85;14,69
18/08/2020;81,52;14,91
19/08/2020;81,78;14,81
20/08/2020;82,3;14,81
21/08/2020;82,93;14,79
24/08/2020;83,13;14,85
25/08/2020;83,46;15,11
26/08/2020;84,14;15,02
27/08/2020;84,33;15,14
28/08/2020;84,44;15,61
31/08/2020;85,13;15,55
01/09/2020;85,16;15,8
02/09/2020;85,39;15,94
03/09/2020;85,46;16,15
04/09/2020;85,74;16,16
08/09/2020;85,78;16,01
09/09/2020;86,6;16,37
10/09/2020;85,52;16,09
11/09/2020;86;16,12
14/09/2020;85,83;16,26
15/09/2020;86,43;16,35
16/09/2020;86,48;16,5
17/09/2020;86,16;16,45
18/09/2020;86,93;16,2
21/09/2020;86,07;15,93
22/09/2020;86,27;15,79
23/09/2020;86,77;15,56
24/09/2020;87,58;15,88
25/09/2020;88,03;15,88
28/09/2020;88,23;15,66
29/09/2020;88,18;15,65
30/09/2020;88,52;15,76
01/10/2020;89,29;15,8
02/10/2020;89,52;15,82
05/10/2020;89,2;16,04
06/10/2020;90,15;16,1
07/10/2020;90,24;16,07
08/10/2020;90,71;16,23
09/10/2020;90,36;16,33
13/10/2020;90,42;16,22
14/10/2020;90,83;16,21
15/10/2020;91,46;16,3
16/10/2020;91,71;16,25
19/10/2020;92,69;16,54
20/10/2020;94,52;16,89
21/10/2020;94,8;16,91
22/10/2020;95,95;17,14
23/10/2020;97,42;17,31
26/10/2020;98,96;17,59
27/10/2020;99,17;17,48
28/10/2020;100,36;17,48
29/10/2020;100,39;17,46
30/10/2020;100,61;17,5
03/11/2020;100,84;17,53
04/11/2020;102,16;18,04
05/11/2020;102,25;18,43
06/11/2020;103,21;19,16
